29958251;40211482
13412594;25865839
42762943;50271323
11071118;25935813
7408585;38594660
39356679;47023095
34509977;38972343
15637714;31734090
44738850;45562866
6339330;47961379
21223991;23643639
4748944;25710125
2574368;39198324
13136651;36067410
17886923;50328074
14501340;29249518
8434345;18917854
6997067;15753087
25447760;47896890
8296015;10866100
22134005;44887267
41771114;44495244
10081294;50222233
26607345;40593254
10182810;39738134
22546732;29715895
18997457;42958067
30146688;45875834
543763;10398414
8659288;25247831
17612094;50594704
41771114;46319971
579785;23559346
12661590;47544770
26492122;37698456
3585201;12959837
38225118;48694783
4840935;27139261
6155770;27346500
6656793;48955250
13027272;37322387
17540358;40474547
7888942;17899823
15667811;23458579
23216784;23257964
27286425;47376035
3640658;18286690
8374369;46169881
9189210;41845558
4332349;10492898
33967511;50660886
14672570;37895989
22308041;38318100
8565049;35142032
27286425;36970618
27171109;35013842
14299452;29715895
35940079;39391117
21258461;32467693
27003423;33714352
28773314;31482348
34052158;46788295
24836238;48470080
4564381;11533410
34690260;47651157
33624400;41255638
31683978;43902332
20337745;24427635
20424099;21898349
25779598;36296801
27598389;42452196
17643435;39391117
1124582;5511179
39460462;48299632
845102;32602596
36516;39198324
20424099;43460322
760693;6656793
8151725;14419953
15753087;49495673
25247831;30094535
23365827;48891442
6155770;35272059
5684354;35142032
14628332;29458932
26884586;35374052
15303127;31180923
13824848;15222076
496150;43840729
14106753;19041028
9265812;39260682
1043307;41373784
7737819;41692541
579785;35060315
26139596;42595044
26335272;46009562
29557149;35096139
1282741;35908143
18518016;28167309
2151016;23822346
21114725;22607767
14225968;16605469
9880718;46116973
2132894;46885078
8959374;36107693
1436660;13901437
26260933;31285857
2914987;37594979
19669105;27779500
32089770;46587628
39561008;49881909
28262557;40040900
11372382;19598424
20709082;49646199
5463511;8209118
11021666;13604213
5334348;21678300
4952265;38669352
23152688;41025695
911119;46952376
9031627;29151965
41482932;45495024
2524384;8008482
659136;11143935
2940658;4368702
3318764;16490243
36227833;40731808
5066121;8817076
16504059;18047137
15146848;44217237
5789924;7830964
1765701;40010411
19758350;25339773
24969750;35823046
29913899;35499249
14332177;35908143
4217339;7490986
6946528;22968262
20505259;35989334
19111006;28838369
7138101;17943844
18385284;27779500
17292563;32223528
33770498;47088985
39082123;48870101
34925021;38669352
24245948;41429368
15436498;17292563
22777028;43406006
29666836;50039410
20283300;21305613
29106774;32111745
6515078;31734090
4840935;13472715
7105670;29557149
15734654;31954114
632224;4997735
13472715;21996245
15837738;40696694
20210874;22522100
3343706;44264147
3516127;24040630
3756374;9562048
16381170;34933663
15595456;30326907
27471695;39576290
17769790;30911898
27003423;40089162
9880718;45895450
26224213;30529110
19521176;45287538
15885727;25965999
37755150;39878015
24808384;37895989
12015528;18679267
29458932;33714352
29011323;45318873
9153107;28369683
7820737;7830964
35374052;36669597
7963743;18956683
45387866;49330033
25657424;37026384
2524384;9629027
7490986;32679758
17020039;40342431
342737;27625482
29715895;43067928
14767606;37322387
9265812;37795340
44377564;46403762
16985618;39042523
22027947;49274974
1555789;50397800
19143028;48891442
367636;34597655
8070619;41264251
6625787;36107693
16686906;39576290
994181;19290366
9298874;11021666
23512338;27139261
5668182;15222076
45636155;46952376
16932198;40395624
9967930;41109274
4115127;26948555
5603948;44565957
3413261;10583981
28984479;37847386
11219018;39925695
13136651;48489227
2322196;35738110
28167309;42958067
2232517;28711184
24003806;47023095
26402774;30442137
10123285;40277950
12247330;28838369
21969438;23386527
14070575;43251080
30211419;40010411
23216784;47716427
31593813;46245735
25586270;31817437
43681072;47997240
7830964;50455289
11282060;20709082
11652916;12072909
189190;2002009
17141900;23714052
9629027;22995648
12709113;21024738
1616203;38401347
6568437;43323513
2524384;9772422
21060479;33298047
17943844;27445792
11021666;29758131
23386527;24427635
35627830;36621993
11955423;35323418
29151965;44264147
19283300;22027947
21335062;38741910
6050102;11652916
15290638;29249518
437431;4687785
13919301;18305056
26948555;35456911
23599251;25016198
2232517;5463511
25779598;36970618
10780558;34217707
36883455;48239635
16575343;47387651
1024
15000
